,id,TRBV9,TRBV8-2,TRBV7-9,TRBV7-8,TRBV7-7,TRBV7-6,TRBV7-5,TRBV7-4,TRBV7-3,TRBV7-2,TRBV7-1,TRBV6-9,TRBV6-8,TRBV6-7,TRBV6-6,TRBV6-5,TRBV6-4,TRBV6-3,TRBV6-1,TRBV5-8,TRBV5-7,TRBV5-6,TRBV5-5,TRBV5-4,TRBV5-3,TRBV5-2,TRBV5-1,TRBV4-3,TRBV4-2,TRBV4-1,TRBV30,TRBV3-2,TRBV3-1,TRBV29-1,TRBV28,TRBV27,TRBV26,TRBV25-1,TRBV24-1,TRBV23-1,TRBV22-1,TRBV21-1,TRBV20-1,TRBV2,TRBV19,TRBV18,TRBV17,TRBV16,TRBV15,TRBV14,TRBV13,TRBV12-5,TRBV12-4,TRBV12-3,TRBV12-2,TRBV12-1,TRBV11-3,TRBV11-2,TRBV11-1,TRBV10-3,TRBV10-2,TRBV10-1,TRBV1,TRAV9-2,TRAV9-1,TRAV29DV5,TRAV23DV6,TRAV14DV4
0,HIP14174.txt,1810,,2048,890,459,590,181,1110,1514,790,10.0,186,193,422,1656,1886,2052,1709,1222,288,201,1085,295,1040,730,2.0,3243,846.0,656,1007,1336,1701,8.0,1367,1705,2932,1.0,992,2333,1568,5.0,3661,3420,1147,2134,996,2.0,35.0,735,1189,327,796,2092,,568,274,778,778,191,1042,264,1570,560,,,,,
0,HIP13142.txt,2404,2.0,2079,533,429,514,185,294,2250,1036,3.0,172,219,408,1661,1582,2149,764,1057,302,199,1096,334,989,745,4.0,3788,24.0,606,1258,1989,1742,15.0,1417,1823,4459,1.0,1084,2617,1616,3.0,4120,4186,1429,2485,990,3.0,18.0,847,1131,273,876,2158,,552,272,806,1253,248,1196,390,1870,713,,,,,
0,HIP02928.txt,2034,,1749,453,442,583,166,399,1938,900,3.0,176,183,373,1288,1754,1745,1390,1118,226,182,983,308,827,673,,3004,700.0,542,901,1566,2264,10.0,910,208,2100,,820,4167,1231,2.0,3040,3337,1156,1765,731,1.0,27.0,532,1095,321,663,2070,1.0,488,239,1061,921,211,862,342,1370,509,,,,,
0,HIP14096.txt,599,,751,160,220,223,59,417,479,414,3.0,119,84,161,650,790,756,686,451,85,68,468,129,398,253,1.0,1233,329.0,221,440,870,677,2.0,501,602,1134,,384,994,576,1.0,1257,1437,406,739,345,,9.0,317,436,117,322,794,,234,98,253,264,63,376,117,540,190,,,,,
0,HIP01765.txt,433,1.0,364,93,105,116,35,79,422,202,4.0,38,36,68,288,326,306,327,188,56,38,183,70,136,157,,579,187.0,146,196,304,374,4.0,236,578,500,,205,369,287,1.0,431,909,174,455,237,,5.0,130,263,53,142,387,,119,45,203,220,61,195,44,314,95,,,,,
0,HIP14020.txt,998,1.0,909,255,247,285,88,175,968,537,1.0,175,116,320,929,1056,1099,942,605,154,106,660,133,542,456,,1506,463.0,148,627,1323,940,4.0,487,1483,1591,,635,1481,711,3.0,1614,1854,586,962,373,2.0,19.0,349,601,159,411,1373,,319,148,397,415,108,580,142,1004,354,,,,,
0,HIP14244.txt,872,,734,216,208,252,47,498,500,476,,92,87,206,741,1013,695,918,520,109,110,499,114,382,326,,1480,421.0,307,484,1098,743,4.0,898,1482,1528,,564,1187,650,1.0,1239,1541,433,890,361,1.0,11.0,365,475,119,345,694,,203,94,296,293,65,429,160,635,293,,,,,
0,HIP00819.txt,1073,1.0,1213,266,239,332,122,552,661,377,2.0,83,93,196,715,886,792,269,704,133,89,493,188,438,340,,1566,3.0,364,540,572,747,1.0,504,221,1227,,386,1923,665,1.0,1833,1756,532,1076,468,1.0,23.0,329,625,181,341,1121,,281,124,593,507,157,467,178,708,195,,,,,
0,HIP12538.txt,1882,,1557,423,368,452,185,265,1879,914,3.0,153,163,322,1225,1407,1681,1092,756,238,146,788,377,764,653,,2487,668.0,222,827,531,2139,6.0,1051,2470,2234,,667,1651,1294,4.0,3386,2752,883,1662,715,,23.0,670,887,225,549,1626,,405,209,928,699,204,753,92,1382,386,,,,,
0,HIP14036.txt,940,1.0,1140,358,293,400,146,638,717,556,1.0,153,166,330,1060,1234,1263,519,847,207,128,731,182,596,436,,2265,12.0,391,813,1014,872,7.0,1031,1679,2399,,630,1672,906,2.0,1964,2251,844,1239,552,,14.0,564,783,189,502,1298,,336,137,532,504,112,686,163,1120,461,,,,,
0,HIP01499.txt,467,,528,98,114,106,41,94,528,270,2.0,37,53,114,358,423,469,440,310,68,41,297,122,238,190,,759,201.0,130,251,299,609,5.0,245,77,623,,214,667,365,,970,900,307,521,203,,8.0,152,275,74,170,591,,117,71,303,263,77,238,50,404,125,,,,,
0,HIP02024.txt,1555,1.0,1684,505,438,579,201,1042,1191,1070,4.0,155,163,393,1433,1530,1920,1430,1138,286,171,1000,455,856,621,4.0,3147,656.0,521,1043,781,2245,5.0,944,2127,2475,,684,1452,1345,4.0,3204,2859,1051,1843,775,,19.0,658,1154,282,756,1748,,496,220,893,903,252,871,241,1469,387,,,,,
0,HIP14170.txt,593,1.0,569,117,159,162,45,122,672,295,,55,65,96,470,601,536,440,250,77,50,330,83,270,236,,842,233.0,207,324,481,525,3.0,311,90,653,,235,789,412,1.0,971,960,248,579,270,,5.0,198,270,88,199,655,,156,74,192,207,48,238,76,428,123,,,,,
0,HIP08236.txt,2341,1.0,2312,580,549,686,192,454,2504,772,3.0,199,228,405,1525,2023,2192,685,1524,276,171,1184,404,1093,808,1.0,3709,8.0,591,1194,2234,1694,18.0,1464,2358,3830,,1127,3609,1892,3.0,5094,5008,1846,2720,1141,1.0,33.0,842,1402,305,852,2219,,682,308,1307,1241,307,1147,393,1899,880,,,,,
0,HIP05574.txt,1609,1.0,1517,327,317,412,144,303,1726,861,3.0,121,153,312,1130,1205,1390,1128,763,193,139,855,286,732,559,1.0,2175,626.0,457,769,616,1686,1.0,938,1443,2132,,725,2406,1178,6.0,3090,2972,752,1701,695,1.0,23.0,540,914,219,594,1874,,392,199,691,773,241,748,176,1306,328,,,,,
0,HIP10730.txt,1162,,1136,160,279,322,145,239,1185,380,1.0,46,119,218,835,929,1074,300,692,75,87,601,235,564,363,,1715,9.0,238,507,603,765,11.0,636,1119,1623,,462,1404,745,2.0,2208,1910,759,1125,495,6.0,17.0,379,630,181,383,1266,,357,140,630,645,192,533,203,818,333,,,,,
0,HIP08725.txt,1266,1.0,979,295,361,384,121,275,1262,666,1.0,157,117,265,1037,1065,1118,1046,619,166,116,660,180,558,484,,1784,498.0,353,693,739,1015,3.0,775,1066,2088,,604,1727,914,4.0,2148,2327,697,1189,550,,14.0,436,674,176,477,1309,,308,152,577,535,168,601,167,956,340,,,,,
0,HIP04455.txt,817,,536,127,184,177,32,141,627,423,,69,65,140,527,790,487,964,309,73,68,384,80,222,279,1.0,868,707.0,325,415,632,458,2.0,612,550,740,,319,1239,324,1.0,440,2083,188,763,536,,8.0,256,320,103,200,605,,111,57,339,256,64,257,34,444,185,,,,,
0,HIP13515.txt,864,1.0,725,133,136,195,44,290,542,276,,166,37,133,762,812,624,266,677,97,83,500,128,332,312,2.0,1696,14.0,212,576,506,259,3.0,542,411,814,,329,1655,517,1.0,939,1532,396,920,545,10.0,,229,391,100,239,801,,134,74,284,331,59,325,140,589,236,,,,,
0,HIP10815.txt,576,,394,63,143,142,14,71,387,196,,57,58,92,395,657,359,329,267,46,52,266,68,202,179,,769,233.0,165,324,554,285,2.0,375,43,403,,227,700,263,,240,1097,138,506,389,,4.0,135,274,91,135,492,,110,39,178,172,42,164,33,267,154,,,,,
