,id,TRBV9,TRBV8-2,TRBV7-9,TRBV7-8,TRBV7-7,TRBV7-6,TRBV7-5,TRBV7-4,TRBV7-3,TRBV7-2,TRBV7-1,TRBV6-9,TRBV6-8,TRBV6-7,TRBV6-6,TRBV6-5,TRBV6-4,TRBV6-3,TRBV6-1,TRBV5-8,TRBV5-7,TRBV5-6,TRBV5-5,TRBV5-4,TRBV5-3,TRBV5-2,TRBV5-1,TRBV4-3,TRBV4-2,TRBV4-1,TRBV30,TRBV3-2,TRBV3-1,TRBV29-1,TRBV28,TRBV27,TRBV26,TRBV25-1,TRBV24-1,TRBV23-1,TRBV22-1,TRBV21-1,TRBV20-1,TRBV2,TRBV19,TRBV18,TRBV17,TRBV16,TRBV15,TRBV14,TRBV13,TRBV12-5,TRBV12-4,TRBV12-3,TRBV12-2,TRBV12-1,TRBV11-3,TRBV11-2,TRBV11-1,TRBV10-3,TRBV10-2,TRBV10-1,TRBV1,TRAV3,TRAV20
0,HIP14174.txt,10231,1.0,10786,8034,1036,3066,41.0,252,2472,7943,,75.0,61.0,94.0,7097,11467,1948,7949,10661,1851.0,85.0,6363,1843,8220,248,,20739,3093.0,3603,4549,6530,7519,3.0,9246,11014,9630,,2832,3091,573,1.0,1408,21930,12030,15718,6414,,273.0,3822,2622,1978,1601,13498,,218.0,84.0,1258,4578,807.0,4947,1634,1352,212,,
0,HIP13142.txt,10696,,15621,4462,952,2935,62.0,37,5143,8418,1.0,48.0,43.0,125.0,6897,9890,1975,3736,8480,1896.0,66.0,4514,1911,6162,273,1.0,21349,8.0,3658,9183,13601,11096,3.0,8586,15440,18789,,2589,3720,635,,1461,24261,14415,19035,9960,,183.0,3849,2186,1951,1592,13705,,186.0,98.0,1255,6792,951.0,5272,2005,2554,286,,
0,HIP02928.txt,11635,,11509,3793,837,3023,64.0,73,3605,7192,2.0,72.0,57.0,99.0,7155,12084,1868,7526,9304,1697.0,55.0,6026,1840,5863,250,,15862,3957.0,3950,7704,11337,8525,2.0,4744,1620,7855,,2691,2741,492,,1211,17930,13193,11745,5238,,173.0,3477,2318,3072,1578,13871,,192.0,66.0,1616,6037,1124.0,3084,1621,1733,191,,
0,HIP14096.txt,3273,,5526,1629,367,1122,22.0,77,609,4886,,31.0,18.0,38.0,3517,6195,543,4042,4449,751.0,30.0,2600,716,2931,93,,9075,1752.0,1801,2812,6547,4078,,3341,6352,4387,,1112,1312,214,,455,8769,5092,5941,3276,,101.0,1400,969,650,546,6353,,79.0,33.0,367,1660,247.0,2235,867,826,77,,
0,HIP01765.txt,2023,1.0,2314,810,167,548,10.0,13,727,1765,,12.0,13.0,15.0,1369,2091,296,1592,1947,294.0,18.0,1011,390,1111,69,,3888,754.0,775,1037,1842,1827,2.0,1383,3748,1848,,400,773,110,,175,5647,2026,2816,1439,,47.0,763,439,329,95,2458,,35.0,16.0,258,1090,274.0,976,275,218,29,,
0,HIP14020.txt,6121,,7158,2184,541,1610,25.0,49,2433,5007,1.0,374.0,30.0,96.0,4242,8104,1605,5534,4750,900.0,60.0,4792,607,4872,166,,10727,2492.0,1139,4280,8739,4814,,3813,10944,5925,,1961,4304,241,,604,13100,8137,5978,3011,,130.0,2333,1278,1478,921,9499,,110.0,54.0,1523,2496,427.0,3266,741,922,95,,
0,HIP14244.txt,4725,,5703,1655,442,1254,11.0,127,834,4100,,34.0,30.0,55.0,4108,8191,1122,5648,5068,693.0,50.0,2794,520,2278,117,,7906,2139.0,2008,3831,7633,3173,,6113,11062,7330,,2208,2882,215,3.0,476,12040,4630,5806,2909,,133.0,2194,1197,1139,474,5238,,69.0,30.0,453,1566,200.0,2840,789,926,106,,
0,HIP00819.txt,6472,,7647,2343,690,1828,32.0,146,1376,3099,1.0,39.0,28.0,45.0,3944,6872,1105,1767,5660,992.0,53.0,2807,1347,3241,107,,10625,8.0,2663,3817,3189,6383,1.0,2954,1892,4517,,1341,1651,273,1.0,709,12069,6063,8115,5186,,130.0,1827,1608,1551,1087,8201,,96.0,57.0,1053,3313,412.0,2641,1002,1214,72,,
0,HIP12538.txt,9699,1.0,12503,3792,689,2290,46.0,74,4392,8189,1.0,60.0,54.0,101.0,5763,9439,2037,6026,6538,1420.0,86.0,4877,2192,5903,233,,14865,3283.0,1689,7266,3523,8749,,6312,17444,9351,,2336,3877,585,,1292,20536,9646,10867,6290,,196.0,3782,1970,1638,1338,11088,,162.0,67.0,1555,4304,1055.0,5364,567,525,157,,
0,HIP14036.txt,4298,,7796,2787,744,1937,51.0,190,1646,6619,1.0,55.0,39.0,98.0,4850,8580,1088,2740,8103,1188.0,48.0,3569,1095,5610,150,,17145,8.0,2020,3428,7925,7204,1.0,5840,13504,6881,,2148,4523,352,1.0,729,16384,12636,8193,5715,,119.0,2955,1368,955,449,9933,,114.0,51.0,818,3063,524.0,4166,920,1112,160,,
